OBJECTID,ED_ID,ED_ENGLISH,ED_GAEILGE,COUNTY,CONTAE,PROVINCE,CENTROID_X,CENTROID_Y,GUID_,CSOED_3409,OSIED_3441,CSOED_3409_LABEL,Shape__Area,Shape__Length
74,67131,KILLERORAN, ,GALWAY,Gaillimh,Connacht,577584.314674447,754405.53138012,2AE1962922E813A3E055000000000001,27144,67131,Killeroran,0.007511543213453,0.493158170608184
75,47304,TEMPLEMARTIN, ,CORK,Corcaigh,Munster,545631.870445578,561451.253563595,2AE1962921ED13A3E055000000000001,18031,47304,Templemartin,0.003986897708684,0.371395838034082
76,107064,KYLE SOUTH, ,LAOIS,Laois,Leinster,623980.309693249,673353.568503369,2AE1962916E013A3E055000000000001,08084,107064,Kyle South,0.003328019314484,0.299277383511355
77,127104,KNOCKNASCROW,Cnoc na Srúibhe,LIMERICK,Luimneach,Munster,584829.756946348,618560.624047491,2AE1962917BF13A3E055000000000001,21076,127104,Knocknascrow,0.001872038306894,0.220512378126224
78,137022,CROSAGSTOWN, ,LONGFORD,An Longfort,Leinster,628534.357747389,772895.607450222,2AE1962918DF13A3E055000000000001,09020,137022,Crosagstown,0.001666060822864,0.251900022711628
79,47138,DROMDALEAGUE NORTH, ,CORK,Corcaigh,Munster,511952.587677838,551119.206516714,2AE196291F0013A3E055000000000001,18297,47138,Dromdaleague North,0.003203494237832,0.304983178547216
80,37119,MOUNT ELVA, ,CLARE,An Clár,Munster,517458.009379189,701951.376412709,2AE196291FAE13A3E055000000000001,16013,37119,Mountelva,0.003816448047096,0.384095225456306
81,187073,RATHROBIN,Ráth Roibín,OFFALY,Uíbh Fhailí,Leinster,627710.585602627,715530.30495282,2AE196291A5213A3E055000000000001,12082,187073,Rathrobin,0.003163599374757,0.313831071552739
82,217030,BORRISOKANE,Buiríos Uí Chéin,TIPPERARY,Tiobraid Árann,Munster,590419.755933335,694481.339900186,2AE196291C1B13A3E055000000000001,22008,217030,Borrisokane,0.002786954281379,0.313352480091762
83,107071,MOUNTMELLICK RURAL, ,LAOIS,Laois,Leinster,644848.353781283,706411.503953762,2AE1962916ED13A3E055000000000001,08065,107071,Mountmellick Rural,0.002113115765884,0.344224200357657
